MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHouseValue
3.968800,41.000000,5.259786,0.971530,916.000000,3.259786,33.980000,-118.070000,1.698000
2.734400,18.000000,7.085158,1.613139,999.000000,2.430657,38.420000,-120.420000,0.919000
5.601300,35.000000,5.771429,0.993878,1439.000000,2.936735,33.830000,-118.360000,3.502000
6.376700,24.000000,6.379870,1.073052,1831.000000,2.972403,33.670000,-117.810000,2.690000
2.707200,37.000000,9.212209,2.090116,777.000000,2.258721,38.490000,-122.940000,1.171000
3.201100,17.000000,3.523392,1.014620,736.000000,2.152047,33.930000,-118.110000,1.625000
2.455500,15.000000,6.177033,1.291866,1697.000000,2.706539,39.900000,-122.570000,0.556000
2.158700,43.000000,4.319648,1.087977,1231.000000,3.609971,37.730000,-122.170000,0.865000
2.786400,22.000000,4.859833,1.520921,1301.000000,2.721757,34.380000,-119.530000,3.000000
6.066100,24.000000,6.329787,0.981763,2194.000000,3.334347,34.270000,-119.170000,2.348000
3.410700,13.000000,5.156250,1.125000,822.000000,12.843750,32.750000,-115.500000,1.425000
4.904200,52.000000,6.356223,1.004292,1364.000000,2.927039,34.190000,-118.300000,3.435000
4.400000,52.000000,6.128852,1.011204,917.000000,2.568627,37.580000,-122.370000,5.000000
2.572600,41.000000,3.842402,1.127580,852.000000,1.598499,33.770000,-118.180000,1.938000
1.577100,12.000000,4.175904,1.014458,1861.000000,4.484337,39.530000,-121.560000,0.652000
3.027800,26.000000,5.803347,1.158996,664.000000,2.778243,34.070000,-117.390000,0.968000
4.809200,23.000000,5.645062,1.067901,1277.000000,3.941358,37.320000,-121.800000,2.174000
1.816700,35.000000,3.917241,1.034483,622.000000,4.289655,37.620000,-121.010000,0.795000
5.457000,13.000000,4.716332,1.041547,1565.000000,2.242120,33.920000,-117.880000,3.088000
4.050000,21.000000,4.471318,1.026357,2613.000000,4.051163,33.760000,-117.930000,1.779000
3.302600,14.000000,3.980676,1.103060,1292.000000,2.080515,34.430000,-119.880000,2.295000
3.276300,29.000000,4.482471,1.071786,1085.000000,1.811352,34.170000,-118.440000,2.794000
3.428600,44.000000,4.136086,0.992355,1676.000000,2.562691,34.160000,-118.330000,2.479000
5.301500,40.000000,6.696296,1.118519,746.000000,2.762963,37.710000,-122.070000,2.549000
10.756900,52.000000,7.450617,0.938272,465.000000,2.870370,37.750000,-122.460000,5.000010
6.118300,49.000000,5.869565,1.260870,86.000000,3.739130,37.820000,-122.290000,0.750000
1.263400,28.000000,3.272727,0.979545,2178.000000,4.950000,36.340000,-119.290000,0.506000
1.788500,40.000000,5.916817,1.198915,1467.000000,2.652803,41.780000,-121.620000,0.435000
4.221200,45.000000,5.148148,1.040741,538.000000,1.992593,34.160000,-118.350000,2.938000
5.286500,37.000000,6.169291,1.047244,1220.000000,2.401575,34.180000,-118.040000,4.554000
3.160700,28.000000,3.587336,1.067686,1142.000000,2.493450,34.260000,-118.300000,2.006000
2.384400,9.000000,4.140442,1.013004,1929.000000,2.508453,38.660000,-121.370000,0.860000
3.135900,27.000000,4.925566,1.069579,1229.000000,1.988673,36.610000,-121.920000,2.680000
3.262200,33.000000,4.824056,1.098410,2855.000000,2.837972,34.020000,-118.090000,2.086000
4.901300,45.000000,5.635220,0.946541,829.000000,2.606918,37.560000,-122.310000,3.301000
4.447700,4.000000,5.752632,1.025263,2844.000000,2.993684,33.170000,-117.060000,1.748000
2.300000,42.000000,5.285266,1.131661,737.000000,2.310345,33.960000,-118.330000,1.892000
1.265600,17.000000,6.466667,1.600000,29.000000,1.933333,33.920000,-114.670000,0.275000
6.206400,29.000000,5.780239,0.977853,1471.000000,2.505963,34.170000,-118.580000,3.349000
5.114900,39.000000,5.878049,1.027642,1571.000000,2.554472,37.710000,-122.480000,3.142000
2.820800,10.000000,7.060755,1.387521,1480.000000,2.430213,38.210000,-120.360000,1.399000
3.641700,43.000000,4.827652,0.967803,1060.000000,2.007576,37.910000,-122.310000,1.784000
1.824200,47.000000,4.257991,1.061644,1916.000000,4.374429,33.990000,-118.260000,0.950000
5.140800,33.000000,5.359862,0.913495,881.000000,3.048443,34.270000,-118.470000,2.229000
2.565800,14.000000,4.815484,1.091613,1277.000000,1.647742,38.290000,-122.470000,2.080000
2.572100,52.000000,4.306213,1.113905,1696.000000,2.508876,37.780000,-122.440000,4.750000
2.322900,16.000000,5.205357,1.044643,2372.000000,3.529762,33.850000,-117.280000,1.180000
5.324500,39.000000,6.508475,1.372881,264.000000,2.237288,35.910000,-120.510000,2.500000
7.537200,28.000000,6.683297,0.997831,1260.000000,2.733189,37.340000,-122.040000,4.326000
2.046700,35.000000,2.410088,1.094298,3441.000000,3.773026,34.090000,-118.290000,1.583000
2.526800,44.000000,3.846154,1.009926,1718.000000,4.263027,34.030000,-118.210000,1.411000
2.375000,12.000000,4.606914,1.060179,2588.000000,3.313700,34.090000,-117.440000,1.138000
2.892900,16.000000,5.086093,1.013245,1283.000000,2.124172,34.510000,-117.320000,1.156000
3.750000,12.000000,5.169789,1.042155,1532.000000,1.793911,33.930000,-117.920000,1.663000
2.242300,17.000000,5.800457,1.318468,4776.000000,2.730703,33.670000,-117.380000,1.326000
3.690500,21.000000,4.058917,1.036624,1624.000000,2.585987,34.200000,-118.550000,1.798000
3.215800,18.000000,4.105263,1.126096,1654.000000,1.813596,33.920000,-117.960000,2.150000
7.500000,50.000000,6.127349,0.987474,1031.000000,2.152401,37.840000,-122.220000,2.952000
3.616100,11.000000,5.640449,1.033708,1248.000000,2.804494,36.720000,-119.570000,0.995000
4.636000,33.000000,5.660333,1.016627,1269.000000,3.014252,34.130000,-117.860000,2.455000
3.634600,39.000000,5.177994,1.114887,1391.000000,2.250809,37.760000,-122.470000,3.380000
4.345600,19.000000,4.710383,0.912568,407.000000,2.224044,37.660000,-122.130000,1.630000
6.022400,15.000000,6.635802,1.009259,1094.000000,3.376543,38.020000,-122.210000,1.985000
4.375000,16.000000,4.908565,1.032407,1771.000000,2.049769,32.820000,-117.110000,1.665000
4.976000,3.000000,6.572016,1.034568,3664.000000,3.015638,38.330000,-121.960000,1.583000
2.285700,14.000000,2.441315,1.370892,282.000000,1.323944,34.060000,-118.440000,5.000010
3.336800,11.000000,5.923969,1.007732,2534.000000,3.265464,34.430000,-117.260000,0.993000
1.630200,32.000000,3.182870,1.037037,1698.000000,3.930556,34.020000,-118.250000,1.307000
8.738200,34.000000,6.442149,1.004132,600.000000,2.479339,37.360000,-122.220000,5.000010
3.691000,30.000000,4.975610,1.000000,989.000000,3.445993,37.860000,-121.610000,1.544000
1.571400,38.000000,3.932099,1.259259,679.000000,4.191358,33.940000,-118.280000,0.897000
